mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
13,8,400,175,5140,12,71,usa,pontiac safari (sw)
18,6,258,110,2962,13.5,71,usa,amc hornet sportabout (sw)
22,4,140,72,2408,19,71,usa,chevrolet vega (sw)
19,6,250,100,3282,15,71,usa,pontiac firebird
18,6,250,88,3139,14.5,71,usa,ford mustang
23,4,122,86,2220,14,71,usa,mercury capri 2000
28,4,116,90,2123,14,71,europe,opel 1900
30,4,79,70,2074,19.5,71,europe,peugeot 304
30,4,88,76,2065,14.5,71,europe,fiat 124b
31,4,71,65,1773,19,71,japan,toyota corolla 1200
35,4,72,69,1613,18,71,japan,datsun 1200
27,4,97,60,1834,19,71,europe,volkswagen model 111
26,4,91,70,1955,20.5,71,usa,plymouth cricket
24,4,113,95,2278,15.5,72,japan,toyota corona hardtop
25,4,97.5,80,2126,17,72,usa,dodge colt hardtop
23,4,97,54,2254,23.5,72,europe,volkswagen type 3
20,4,140,90,2408,19.5,72,usa,chevrolet vega
21,4,122,86,2226,16.5,72,usa,ford pinto runabout
13,8,350,165,4274,12,72,usa,chevrolet impala
14,8,400,175,4385,12,72,usa,pontiac catalina
15,8,318,150,4135,13.5,72,usa,plymouth fury iii
14,8,351,153,4129,13,72,usa,ford galaxie 500
17,8,304,150,3672,11.5,72,usa,amc ambassador sst
11,8,429,208,4633,11,72,usa,mercury marquis
13,8,350,155,4502,13.5,72,usa,buick lesabre custom
12,8,350,160,4456,13.5,72,usa,oldsmobile delta 88 royale
13,8,400,190,4422,12.5,72,usa,chrysler newport royal
19,3,70,97,2330,13.5,72,japan,mazda rx2 coupe
15,8,304,150,3892,12.5,72,usa,amc matador (sw)
13,8,307,130,4098,14,72,usa,chevrolet chevelle concours (sw)
13,8,302,140,4294,16,72,usa,ford gran torino (sw)
14,8,318,150,4077,14,72,usa,plymouth satellite custom (sw)
18,4,121,112,2933,14.5,72,europe,volvo 145e (sw)
22,4,121,76,2511,18,72,europe,volkswagen 411 (sw)
21,4,120,87,2979,19.5,72,europe,peugeot 504 (sw)
26,4,96,69,2189,18,72,europe,renault 12 (sw)
22,4,122,86,2395,16,72,usa,ford pinto (sw)
28,4,97,92,2288,17,72,japan,datsun 510 (sw)
23,4,120,97,2506,14.5,72,japan,toyouta corona mark ii (sw)
28,4,98,80,2164,15,72,usa,dodge colt (sw)
27,4,97,88,2100,16.5,72,japan,toyota corolla 1600 (sw)
13,8,350,175,4100,13,73,usa,buick century 350
14,8,304,150,3672,11.5,73,usa,amc matador
13,8,350,145,3988,13,73,usa,chevrolet malibu
14,8,302,137,4042,14.5,73,usa,ford gran torino
15,8,318,150,3777,12.5,73,usa,dodge coronet custom
12,8,429,198,4952,11.5,73,usa,mercury marquis brougham
13,8,400,150,4464,12,73,usa,chevrolet caprice classic
13,8,351,158,4363,13,73,usa,ford ltd
14,8,318,150,4237,14.5,73,usa,plymouth fury gran sedan
13,8,440,215,4735,11,73,usa,chrysler new yorker brougham
12,8,455,225,4951,11,73,usa,buick electra 225 custom
13,8,360,175,3821,11,73,usa,amc ambassador brougham
18,6,225,105,3121,16.5,73,usa,plymouth valiant
16,6,250,100,3278,18,73,usa,chevrolet nova custom
18,6,232,100,2945,16,73,usa,amc hornet
18,6,250,88,3021,16.5,73,usa,ford maverick
23,6,198,95,2904,16,73,usa,plymouth duster
26,4,97,46,1950,21,73,europe,volkswagen super beetle
11,8,400,150,4997,14,73,usa,chevrolet impala
12,8,400,167,4906,12.5,73,usa,ford country
13,8,360,170,4654,13,73,usa,plymouth custom suburb
12,8,350,180,4499,12.5,73,usa,oldsmobile vista cruiser
18,6,232,100,2789,15,73,usa,amc gremlin
20,4,97,88,2279,19,73,japan,toyota carina
21,4,140,72,2401,19.5,73,usa,chevrolet vega
22,4,108,94,2379,16.5,73,japan,datsun 610
18,3,70,90,2124,13.5,73,japan,maxda rx3
19,4,122,85,2310,18.5,73,usa,ford pinto
21,6,155,107,2472,14,73,usa,mercury capri v6
26,4,98,90,2265,15.5,73,europe,fiat 124 sport coupe
15,8,350,145,4082,13,73,usa,chevrolet monte carlo s
16,8,400,230,4278,9.5,73,usa,pontiac grand prix
29,4,68,49,1867,19.5,73,europe,fiat 128
24,4,116,75,2158,15.5,73,europe,opel manta
20,4,114,91,2582,14,73,europe,audi 100ls
19,4,121,112,2868,15.5,73,europe,volvo 144ea
15,8,318,150,3399,11,73,usa,dodge dart custom
24,4,121,110,2660,14,73,europe,saab 99le
20,6,156,122,2807,13.5,73,japan,toyota mark ii
11,8,350,180,3664,11,73,usa,oldsmobile omega
20,6,198,95,3102,16.5,74,usa,plymouth duster
21,6,200,,2875,17,74,usa,ford maverick
19,6,232,100,2901,16,74,usa,amc hornet
15,6,250,100,3336,17,74,usa,chevrolet nova
31,4,79,67,1950,19,74,japan,datsun b210
26,4,122,80,2451,16.5,74,usa,ford pinto
32,4,71,65,1836,21,74,japan,toyota corolla 1200
25,4,140,75,2542,17,74,usa,chevrolet vega
16,6,250,100,3781,17,74,usa,chevrolet chevelle malibu classic
16,6,258,110,3632,18,74,usa,amc matador
18,6,225,105,3613,16.5,74,usa,plymouth satellite sebring
16,8,302,140,4141,14,74,usa,ford gran torino
13,8,350,150,4699,14.5,74,usa,buick century luxus (sw)
14,8,318,150,4457,13.5,74,usa,dodge coronet custom (sw)
14,8,302,140,4638,16,74,usa,ford gran torino (sw)
14,8,304,150,4257,15.5,74,usa,amc matador (sw)
29,4,98,83,2219,16.5,74,europe,audi fox
26,4,79,67,1963,15.5,74,europe,volkswagen dasher
26,4,97,78,2300,14.5,74,europe,opel manta
31,4,76,52,1649,16.5,74,japan,toyota corona
32,4,83,61,2003,19,74,japan,datsun 710
28,4,90,75,2125,14.5,74,usa,dodge colt
24,4,90,75,2108,15.5,74,europe,fiat 128
26,4,116,75,2246,14,74,europe,fiat 124 tc
24,4,120,97,2489,15,74,japan,honda civic
26,4,108,93,2391,15.5,74,japan,subaru
31,4,79,67,2000,16,74,europe,fiat x1.9
19,6,225,95,3264,16,75,usa,plymouth valiant custom
18,6,250,105,3459,16,75,usa,chevrolet nova
15,6,250,72,3432,21,75,usa,mercury monarch
15,6,250,72,3158,19.5,75,usa,ford maverick
16,8,400,170,4668,11.5,75,usa,pontiac catalina
15,8,350,145,4440,14,75,usa,chevrolet bel air
16,8,318,150,4498,14.5,75,usa,plymouth grand fury
14,8,351,148,4657,13.5,75,usa,ford ltd
17,6,231,110,3907,21,75,usa,buick century
16,6,250,105,3897,18.5,75,usa,chevroelt chevelle malibu
15,6,258,110,3730,19,75,usa,amc matador
18,6,225,95,3785,19,75,usa,plymouth fury
21,6,231,110,3039,15,75,usa,buick skyhawk
20,8,262,110,3221,13.5,75,usa,chevrolet monza 2+2
13,8,302,129,3169,12,75,usa,ford mustang ii
29,4,97,75,2171,16,75,japan,toyota corolla
23,4,140,83,2639,17,75,usa,ford pinto
20,6,232,100,2914,16,75,usa,amc gremlin
23,4,140,78,2592,18.5,75,usa,pontiac astro
24,4,134,96,2702,13.5,75,japan,toyota corona
25,4,90,71,2223,16.5,75,europe,volkswagen dasher
24,4,119,97,2545,17,75,japan,datsun 710
18,6,171,97,2984,14.5,75,usa,ford pinto
29,4,90,70,1937,14,75,europe,volkswagen rabbit
19,6,232,90,3211,17,75,usa,amc pacer
23,4,115,95,2694,15,75,europe,audi 100ls
23,4,120,88,2957,17,75,europe,peugeot 504
22,4,121,98,2945,14.5,75,europe,volvo 244dl
25,4,121,115,2671,13.5,75,europe,saab 99le
33,4,91,53,1795,17.5,75,japan,honda civic cvcc
28,4,107,86,2464,15.5,76,europe,fiat 131
25,4,116,81,2220,16.9,76,europe,opel 1900
25,4,140,92,2572,14.9,76,usa,capri ii
26,4,98,79,2255,17.7,76,usa,dodge colt
27,4,101,83,2202,15.3,76,europe,renault 12tl
17.5,8,305,140,4215,13,76,usa,chevrolet chevelle malibu classic
16,8,318,150,4190,13,76,usa,dodge coronet brougham
15.5,8,304,120,3962,13.9,76,usa,amc matador
14.5,8,351,152,4215,12.8,76,usa,ford gran torino
22,6,225,100,3233,15.4,76,usa,plymouth valiant
22,6,250,105,3353,14.5,76,usa,chevrolet nova
24,6,200,81,3012,17.6,76,usa,ford maverick
22.4,6,232,90,3085,17.6,76,usa,amc hornet
29,4,85,52,2035,22.2,76,usa,chevrolet chevette
24.5,4,98,60,2164,22.1,76,usa,chevrolet woody
29,4,90,70,1937,14.2,76,europe,vw rabbit
